RADIO,PERSONAS,decil_NSE
020031307,622,5
020031308,498,2
020031309,723,6
020031310,693,2
020031311,896,4
020031401,880,2
020031402,948,3
020031403,1052,3
020031404,802,4
020031405,844,2
020031406,1114,4
020031407,633,4
020031408,720,4
020031409,103,1
020031410,898,3
020031501,683,5
020031502,909,4
020031503,666,3
020031504,788,6
020031505,755,5
020031506,805,3
020031507,1248,5
020031508,1281,5
020031509,275,3
020031601,891,4
020031602,1121,4
020031603,881,3
020031604,464,5
020031605,664,2
020031606,741,2
020031607,787,2
020031608,774,3
020031609,1153,7
020031701,738,3
020031702,822,4
020031703,452,2
020031704,905,1
020031705,811,2
020031706,726,2
020031707,880,3
020031708,1182,2
020031709,707,2
020031801,573,2
020031802,761,3
020031803,486,3
020031804,830,6
020031805,396,4
020031806,644,2
020031807,709,2
020031808,538,4
020031809,895,3
020031810,581,2
020031811,597,5
020031901,1181,4
020031902,301,3
020031903,665,5
020031904,727,4
020031905,812,3
020031906,781,2
020031907,949,2
020031908,1160,3
020031909,689,4
020031910,520,3
020032001,603,2
020032002,880,4
020032003,613,4
020032004,616,5
020032005,482,4
020032006,485,2
020032007,802,3
020032008,803,2
020032009,974,3
020032010,626,5
020032011,479,5
020032101,959,6
020032102,912,4
020032103,739,6
020032104,768,4
020032105,507,2
020032106,797,2
020032107,405,3
020032108,690,3
020032109,416,3
020032110,972,3
020032201,787,4
020032202,658,5
020032203,407,2
020032204,513,7
020032205,809,4
020032206,753,2
020032207,737,2
020032208,931,3
020032209,939,3
020032301,799,3
020032302,803,5
020032303,810,5
020032304,448,2
020032305,614,3
020032306,610,5
020032307,661,3
020032308,880,4
020032309,972,2
020032310,1044,3
020032401,692,2
020032402,851,3
020032403,651,2
020032404,701,3
020032405,517,3
020032406,1074,3
020032407,674,8
020032408,753,3
020032409,458,4
020032501,1221,7
020032502,709,3
020032503,549,2
020032504,696,2
020032505,829,4
020032506,959,2
020032507,527,3
020032508,1553,3
020032509,746,2
020032601,900,4
020032602,1162,5
020032603,803,3
020032604,517,5
020032605,834,3
020032606,605,2
020032607,815,5
020032608,586,2
020032609,790,3
020032701,966,4
020032702,842,3
020032703,906,4
020032704,834,5
020032705,781,2
020032706,838,2
020032707,932,2
020040101,770,1
020040102,795,1
020040103,635,1
020040104,801,1
020040105,824,1
020040106,725,1
020040107,518,1
020040108,685,1
020040109,650,2
020040110,491,1
020040111,593,1
020040112,529,1
020040113,405,1
020040114,749,1
020040201,753,2
020040202,826,2
020040203,1049,2
020040204,796,1
020040205,738,1
020040206,683,2
020040207,899,1
020040208,520,1
020040209,621,1
020040210,1051,1
020040301,974,2
020040302,849,1
020040303,643,3
020040304,904,1
020040305,1061,2
020040306,902,2
020040307,686,3
020040308,844,3
020040309,575,2
020040310,822,2
020040311,920,2
020040312,1065,2
020040313,590,1
020040401,668,2
020040402,738,5
020040403,902,3
020040404,1041,3
020040405,1016,3
020040406,795,2
020040407,886,3
020040408,780,2
020040409,850,2
020040410,661,2
020040411,960,1
020040501,891,4
020040502,639,2
020040503,797,3
020040504,715,2
020040505,453,3
020040506,936,3
020040507,834,2
020040508,1082,2
020040509,2162,1
020040510,1258,1
020040511,1016,1
020040601,1090,6
020040602,787,5
020040603,751,4
020040604,955,5
020040605,733,5
020040606,929,4
020040607,766,3
020040608,920,3
020040609,707,4
020040610,730,5
020040611,654,6
020040701,902,4
020040702,756,4
020040703,938,2
020040704,2159,3
020040705,763,2
020040706,861,2
020040707,785,5
020040708,689,3
020040709,744,3
020040710,610,3
020040711,1277,4
020040712,866,2
020040801,705,3
020040802,767,3
020040803,630,3
020040804,800,2
020040805,594,2
020040806,710,2
020040807,2464,2
020040808,405,1
020040809,1093,1
020040810,763,2
020040811,899,2
020040901,1495,1
020040902,765,1
020040903,536,1
020040904,503,1
020040905,537,1
020040906,839,1
020040907,782,1
020041001,73,1
020041002,1935,1
020041003,1653,1
020041004,464,1
020041005,1659,1
020041006,1004,1
020041007,901,1
020041008,1602,1
020041009,2091,1
020041101,862,1
020041102,847,2
020041103,785,3
020041104,643,2
020041105,456,2
020041106,964,1
020041107,1049,1
020041108,922,2
020041109,885,1
020041201,604,1
020041202,540,1
020041203,721,4
020041204,975,3
020041205,615,2
020041206,796,1
020041207,484,1
020041208,403,5
020041209,739,5
020041210,884,2
020041211,632,7
020041212,573,5
020041301,907,9
020041302,618,5
020041303,638,4
020041304,486,6
020041305,956,8
020041306,576,3
020041307,898,9
020041308,409,4
020041309,407,5
020041310,491,6
020041311,1139,4
020041401,635,2
020041402,588,3
020041403,645,4
020041404,1110,5
020041405,669,5
020041406,497,6
020041407,757,2
020041408,992,3
020041409,664,5
020041501,639,5
020041502,1292,6
020041503,1064,7
020041504,732,6
020041505,542,4
020041506,594,4
020041507,644,5
020041508,671,7
020041509,663,5
020041510,527,4
020041601,681,2
020041602,1933,5
020041603,1245,3
020041604,646,3
020041605,970,3
020041606,557,3
020041607,401,4
020041608,611,1
020041609,1064,2
020041610,786,2
020041701,577,7
020041702,590,4
020041703,584,3
020041704,675,4
020041705,759,4
020041706,607,4
020041707,609,3
020041708,994,2
020041709,757,5
020041710,881,1
020041801,74,2
020041901,674,1
020041902,735,2
020041903,904,2
020041904,1134,1
020041905,805,1
020041906,1147,1
020041907,933,1
020041908,1520,1
020041909,1129,1
020041910,644,1
020042001,931,1
020042002,705,2
020042003,849,1
020042004,603,1
020042005,756,2
020042006,868,1
020042007,849,2
020042008,797,1
020042009,849,1
020042010,1125,1
020042011,913,2
020042012,1169,2
020042101,703,1
020042102,799,1
020042103,561,1
020042104,767,1
020042105,655,2
020042106,732,1
020042107,838,2
020042108,981,1
020042109,835,1
020042110,733,1
020042111,912,2
020042112,557,1
020042201,589,5
020042202,745,4
020042203,886,6
020042204,1305,5
020042205,765,3
020042206,599,7
020042207,903,5
020042208,987,3
020042209,685,2
020042210,563,3
020042211,728,3
020042212,605,2
020042301,834,2
020042302,873,2
020042303,819,1
020042304,827,2
020042305,543,5
020042306,695,2
020042307,653,2
020042308,845,2
020042309,471,2
020042310,804,2
020042311,573,1
020042312,780,1
020042401,1396,1
020042402,1852,1
