id,n,total_ha
10191,2,2.0483716393466573
10192,3,2.9291286508351098
10193,3,2.9291286508351098
10194,2,2.0483716393466573
10195,2,2.0483716393466573
10196,2,3.4146369209936704
10197,2,3.4146369209936704
10198,2,3.4146369209936704
10199,3,3.8508140992622355
102,7,19.593004662340903
1020,5,2.9359779942122985
10200,1,0.8807570114884525
10201,1,0.8807570114884525
10202,2,1.4810932033107034
10203,2,1.4810932033107034
10204,3,2.6543341546524664
10205,2,1.8601810831959824
10206,3,4.295865540274745
10207,3,3.001945401463425
10208,2,1.8601810831959824
10209,2,3.1226245889329816
1021,2,6.512047758340067
10210,4,75.21580241285325
10211,5,6.48060515797562
10212,5,6.48060515797562
10213,3,3.357980569042638
10214,2,2.6794106432463973
10215,3,4.271867169014923
10216,6,79.94981097230236
10217,4,5.014381652730517
10218,3,5.009918776333041
10219,4,6.67629426998113
1022,1,0.8942443545290268
10220,4,5.025563169994019
10221,5,4.926454465645924
10222,3,3.014748042583652
10223,2,3.5461914192336494
10224,3,5.557006546644017
10225,4,6.641135334551043
10226,2,72.21197236597686
10227,1,71.52503223412265
10228,1,71.52503223412265
10229,4,80.8704603239742
1023,1,0.8942443545290268
10230,4,73.8919274172971
10231,3,73.20498728544288
10232,4,74.32427500877999
10233,7,84.26110830494497
10234,2,1.570138231527657
10235,0,0
10236,0,0
10237,0,0
10238,1,1.2969724780729972
10239,0,0
1024,1,2.221488167841686
10240,0,0
10241,0,0
10242,1,0.7599636742711766
10243,4,3.351447130432981
10244,6,12.158684487231746
10245,4,4.031181060893787
10246,6,6.0807683773090595
10247,1,0.5418961397465318
10248,1,0.5418961397465318
10249,0,0
1025,1,2.221488167841686
10250,1,0.5405063405876513
10251,2,2.273601635000249
10252,2,2.273601635000249
10253,4,4.378838344813092
10254,4,3.9984770488262757
10255,2,2.273601635000249
10256,1,0.5405063405876513
10257,1,0.5405063405876513
10258,2,2.273601635000249
10259,1,0.83532199016019
1026,0,0
10260,0,0
10261,0,0
10262,3,6.337904227124888
10263,5,9.286682807684493
10264,6,10.176236231350329
10265,6,10.176236231350329
10266,5,9.092107443443302
10267,3,6.337904227124888
10268,3,4.896949517704081
10269,3,5.545916024209652
1027,0,0
10270,4,6.086422364797303
10271,3,5.545916024209652
10272,3,4.353269715899229
10273,3,4.353269715899229
10274,3,4.648142719957244
10275,3,3.4579707082386246
10276,2,1.7248754138260265
10277,2,1.7248754138260265
10278,2,1.3757709762623649
10279,1,0.540448986102175
1028,0,0
10280,2,3.463716292233393
10281,0,0
10282,2,2.683199471404031
10283,1,1.8024424599155784
10284,3,4.3238332838145785
10285,2,3.4146369209936704
10286,1,1.0841287879070267
10287,1,1.0841287879070267
10288,1,0.540448986102175
10289,2,3.463716292233393
1029,0,0
10290,1,0.540448986102175
10291,1,0.540448986102175
10292,1,1.8024424599155784
10293,1,0.540448986102175
10294,2,1.2656468043373432
10295,2,1.2656468043373432
10296,3,2.0708997360115404
10297,2,1.3757709762623649
10298,1,0.83532199016019
10299,1,0.83532199016019
103,7,18.702886770082504
1030,0,0
10300,0,0
10301,2,1.5605198083953584
10302,4,3.873281243007956
10303,3,3.332832256905781
10304,3,3.332832256905781
10305,4,3.863855008370476
1031,0,0
10310,2,1.336275683138892
10311,1,0.5310227514646947
10312,4,3.656647458401974
10313,2,2.6076344386706127
10314,3,3.332832256905781
10315,3,3.332832256905781
10316,2,2.6076344386706127
10317,0,0
1032,0,0
10323,0,0
10324,1,1.015394265072234
10325,0,0
10326,0,0
10327,0,0
10328,0,0
